Timestamp,Model Type,MAE CV,learning_rate,max_depth,n_estimators,n_jobs,max_features,max_leaf_nodes,min_samples_split
04-09-2024 19:41:53,DecisionTreeRegressor,0.1103514341860548,,inf,,,,75.0,50.0
04-09-2024 19:41:53,DecisionTreeRegressor,1224.9141349687206,,inf,,,,90.0,50.0
04-09-2024 19:42:06,XGBRegressor,1006.8734059977372,0.1,3.0,53.0,-1.0,,,
04-09-2024 19:42:06,RandomForestRegressor,0.1083496755465997,,15.0,155.0,-1.0,0.8,,
04-09-2024 19:42:09,RandomForestRegressor,930.2939705208548,,6.0,278.0,-1.0,0.5,,
04-09-2024 19:42:15,XGBRegressor,0.1045355704463884,0.08,2.0,290.0,-1.0,,,
05-09-2024 10:01:55,DecisionTreeRegressor,0.1105041566680758,,inf,,,,75.0,50.0
05-09-2024 10:01:55,DecisionTreeRegressor,1255.4518022185266,,inf,,,,90.0,50.0
05-09-2024 10:02:06,XGBRegressor,982.7713242944764,0.1,3.0,53.0,-1.0,,,
05-09-2024 10:02:07,RandomForestRegressor,0.1085977852455964,,15.0,155.0,-1.0,0.8,,
05-09-2024 10:02:10,RandomForestRegressor,936.079049001164,,6.0,278.0,-1.0,0.5,,
05-09-2024 10:02:17,XGBRegressor,0.1055535321405007,0.08,2,290,-1,,,
